id,St_Racuna,Sifra_Kupca,Datum_Storitve,Knjizenje,Znesek,Znese_z_DDV,Fakturiral,Izvajalec
6.418,30.007,578.809,6. 10. 2014,1,"23,00","28,06",063,008
6.419,33.949,578.817,5. 11. 2014,1,"23,00","28,06",107,075
6.420,33.427,578.875,4. 11. 2014,1,"23,00","28,06",063,075
6.421,33.915,578.879,4. 11. 2014,0,"6,30","7,69",037,075
6.422,33.428,578.882,4. 11. 2014,1,"23,00","28,06",063,075
6.423,33.951,578.885,5. 11. 2014,2,"23,00","28,06",107,075
6.424,40.954,578.908,24. 12. 2014,0,"23,00","28,06",037,042
6.425,40.227,578.919,19. 12. 2014,1,"23,00","28,06",107,005
6.426,40.446,578.920,22. 12. 2014,0,"23,00","28,06",037,005
6.427,40.555,578.921,19. 12. 2014,0,"23,00","28,06",037,005
6.428,41.063,578.923,19. 12. 2014,0,"6,30","7,69",037,005
6.429,40.226,578.924,19. 12. 2014,1,"23,00","28,06",107,005
6.430,1.428,578.931,19. 1. 2015,0,"23,00","28,06",037,075
6.431,1.762,578.932,20. 1. 2015,0,"23,00","28,06",037,075
6.432,1.759,578.933,20. 1. 2015,0,"23,00","28,06",037,075
6.433,1.554,578.937,16. 1. 2015,1,"23,00","28,06",063,075
6.434,502,579.302,13. 1. 2015,0,"23,00","28,06",037,075
6.435,35.522,579.314,14. 11. 2014,1,"20,00","24,40",107,076
6.436,30.591,579.324,11. 10. 2014,1,"20,00","24,40",063,076
6.437,30.072,579.335,2. 10. 2014,0,"6,30","7,69",037,076
6.438,30.045,579.345,4. 10. 2014,1,"37,00","45,14",063,008
6.439,33.480,579.356,4. 11. 2014,1,"23,00","28,06",063,008
6.440,33.756,579.357,3. 11. 2014,1,"37,00","45,14",063,008
6.441,29.572,579.376,6. 10. 2014,0,"25,00","30,50",037,022
6.442,256,579.377,9. 1. 2015,0,"20,00","24,40",037,027
6.443,41.194,579.406,30. 12. 2014,1,"8,00","9,76",063,008
6.444,30.514,579.418,13. 10. 2014,1,"20,00","24,40",063,072
6.445,36.187,579.421,24. 11. 2014,1,"14,00","17,08",107,008
6.446,1.058,579.423,7. 1. 2015,1,"23,00","28,06",063,008
6.447,34.949,579.424,12. 11. 2014,1,"37,00","45,14",063,076
6.448,33.969,579.425,10. 11. 2014,1,"20,00","24,40",063,076
6.449,34.732,579.428,11. 11. 2014,1,"16,00","19,52",107,076
6.450,34.734,579.429,11. 11. 2014,1,"16,00","19,52",107,076
6.451,34.735,579.433,11. 11. 2014,1,"16,00","19,52",107,076
6.452,34.731,579.434,11. 11. 2014,1,"25,00","30,50",107,076
6.453,35.827,579.444,19. 11. 2014,2,"20,00","24,40",063,022
6.454,35.806,579.446,18. 11. 2014,1,"20,00","24,40",063,022
6.455,35.812,579.447,19. 11. 2014,1,"37,00","45,14",063,022
6.456,35.816,579.448,19. 11. 2014,1,"10,00","12,20",063,022
6.457,34.195,579.456,13. 11. 2014,0,"23,00","28,06",037,076
6.458,37.245,579.457,19. 11. 2014,0,"6,30","7,69",037,076
6.459,34.953,579.458,12. 11. 2014,1,"10,00","12,20",063,076
6.460,33.968,579.459,10. 11. 2014,1,"14,00","17,08",063,076
6.461,39.072,579.460,11. 12. 2014,1,"16,00","19,52",107,008
6.462,34.737,579.461,11. 11. 2014,1,"10,00","12,20",107,076
6.463,36.579,579.475,21. 11. 2014,1,"10,00","12,20",107,022
6.464,36.333,579.477,21. 11. 2014,0,"20,00","24,40",014,022
6.465,36.578,579.480,21. 11. 2014,1,"19,00","23,18",107,022
6.466,35.813,579.481,19. 11. 2014,1,"18,00","21,96",063,022
6.467,39.255,579.485,12. 12. 2014,1,"25,00","30,50",107,076
6.468,1.595,579.488,16. 1. 2015,1,"16,00","19,52",063,076
6.469,39.382,579.494,15. 12. 2014,1,"37,00","45,14",107,008
6.470,30.009,579.497,6. 10. 2014,1,"10,00","12,20",063,008
6.471,30.607,579.498,10. 10. 2014,1,"10,00","12,20",063,008
6.472,35.807,579.500,18. 11. 2014,1,"23,00","28,06",063,022
6.473,33.383,579.535,5. 11. 2014,1,"23,00","28,06",063,008
6.474,33.825,579.536,6. 11. 2014,1,"10,00","12,20",107,008
6.475,33.374,579.541,5. 11. 2014,1,"20,00","24,40",063,008
6.476,39.485,579.566,16. 12. 2014,0,"37,00","45,14",037,007
6.477,38.301,579.576,8. 12. 2014,0,"6,30","7,69",037,018
6.478,37.241,579.592,17. 11. 2014,0,"6,30","7,69",037,005
6.479,39.688,579.593,17. 12. 2014,0,"23,00","28,06",037,072
6.480,41.244,579.594,17. 12. 2014,0,"6,30","7,69",037,072
6.481,37.239,579.605,17. 11. 2014,0,"6,30","7,69",037,005
6.482,37.240,579.606,17. 11. 2014,0,"6,30","7,69",037,005
6.483,40.044,579.608,17. 12. 2014,1,"23,00","28,06",063,072
6.484,38.303,579.613,8. 12. 2014,0,"6,30","7,69",037,018
6.485,30.979,579.627,17. 10. 2014,0,"23,00","28,06",037,075
6.486,30.981,579.632,17. 10. 2014,0,"23,00","28,06",037,075
6.487,35.540,579.656,15. 11. 2014,1,"16,00","19,52",107,076
6.488,35.282,579.658,17. 11. 2014,1,"37,00","45,14",063,076
6.489,35.285,579.659,17. 11. 2014,1,"10,00","12,20",063,076
6.490,1.596,579.664,16. 1. 2015,1,"26,00","31,72",063,076
6.491,36.299,579.665,24. 11. 2014,0,"23,00","28,06",014,076
6.492,37.374,579.671,2. 12. 2014,1,"37,00","45,14",107,076
6.493,33.377,579.672,5. 11. 2014,1,"37,00","45,14",063,008
6.494,33.973,579.674,10. 11. 2014,1,"23,00","28,06",063,008
6.495,33.985,579.676,10. 11. 2014,1,"37,00","45,14",063,008
6.496,36.919,579.708,27. 11. 2014,0,"10,00","12,20",037,076
6.497,34.738,579.711,11. 11. 2014,1,"16,00","19,52",107,076
6.498,34.736,579.715,11. 11. 2014,1,"10,00","12,20",107,076
6.499,33.704,579.717,11. 11. 2014,0,"37,00","45,14",037,076
6.500,40.981,579.718,19. 12. 2014,0,"6,30","7,69",037,021
6.501,34.724,579.728,13. 11. 2014,1,"25,00","30,50",063,076
6.502,31.173,579.808,21. 10. 2014,0,"-6,30","-7,69",037,076
6.503,35.473,579.808,18. 11. 2014,1,"25,00","30,50",063,076
6.504,29.373,579.820,2. 10. 2014,0,"23,00","28,06",037,076
6.505,37.379,579.821,2. 12. 2014,1,"37,00","45,14",107,076
6.506,33.824,579.822,6. 11. 2014,1,"37,00","45,14",107,008
6.507,33.826,579.824,6. 11. 2014,1,"14,00","17,08",107,008
6.508,37.905,579.857,3. 12. 2014,1,"23,00","28,06",063,008
6.509,33.974,579.875,10. 11. 2014,1,"20,00","24,40",063,008
6.510,39.269,579.876,13. 12. 2014,1,"10,00","12,20",107,008
6.511,29.843,579.881,7. 10. 2014,1,"20,00","24,40",063,008
6.512,780,579.931,2. 1. 2015,1,"37,00","45,14",063,008
6.513,32.753,579.932,27. 10. 2014,0,"6,30","7,69",037,076
6.514,31.516,579.934,16. 10. 2014,1,"26,00","31,72",063,072
6.515,38.001,579.950,5. 12. 2014,1,"26,00","31,72",107,075
6.516,38.631,579.951,3. 12. 2014,0,"6,30","7,69",037,075
6.517,37.098,579.972,28. 11. 2014,1,"37,00","45,14",107,008
6.518,35.359,579.974,17. 11. 2014,1,"37,00","45,14",063,008
6.519,39.364,579.975,13. 12. 2014,0,"39,00","47,58",037,076
6.520,35.987,579.976,22. 11. 2014,1,"37,00","45,14",063,008
6.521,35.571,579.977,20. 11. 2014,0,"23,00","28,06",014,008
6.522,36.619,579.978,26. 11. 2014,1,"20,00","24,40",107,008
6.523,35.983,579.979,21. 11. 2014,1,"10,00","12,20",063,008
6.524,36.622,579.981,26. 11. 2014,1,"20,00","24,40",107,008
6.525,35.556,579.983,15. 11. 2014,1,"37,00","45,14",107,008
6.526,33.384,579.984,5. 11. 2014,1,"20,00","24,40",063,008
6.527,35.410,579.985,19. 11. 2014,1,"37,00","45,14",063,008
6.528,35.979,579.986,21. 11. 2014,1,"25,00","30,50",063,008
6.529,33.218,580.004,6. 11. 2014,0,"26,00","31,72",037,008
6.530,33.827,580.007,6. 11. 2014,1,"20,00","24,40",107,008
6.531,34.112,580.010,7. 11. 2014,1,"26,00","31,72",063,008
6.532,38.176,580.011,4. 12. 2014,1,"23,00","28,06",063,008
6.533,33.976,580.012,10. 11. 2014,1,"10,00","12,20",063,008
6.534,34.117,580.014,7. 11. 2014,1,"9,00","10,98",063,008
6.535,34.965,580.015,17. 11. 2014,0,"16,00","19,52",014,008
6.536,33.376,580.016,5. 11. 2014,1,"37,00","45,14",063,008
6.537,33.980,580.017,10. 11. 2014,1,"16,00","19,52",063,008
6.538,35.390,580.018,17. 11. 2014,1,"16,00","19,52",063,008
6.539,34.868,580.019,12. 11. 2014,1,"16,00","19,52",063,008
6.540,37.387,580.021,2. 12. 2014,1,"25,00","30,50",107,076
6.541,38.131,580.022,3. 12. 2014,0,"6,30","7,69",037,076
6.542,40.337,580.023,17. 12. 2014,0,"6,30","7,69",037,076
6.543,37.875,580.024,3. 12. 2014,1,"23,00","28,06",063,076
6.544,37.775,580.025,3. 12. 2014,0,"23,00","28,06",037,076
6.545,33.982,580.045,10. 11. 2014,1,"10,00","12,20",063,008
6.546,41.119,580.052,31. 12. 2014,1,"20,00","24,40",063,008
6.547,36.816,580.061,26. 11. 2014,1,"23,00","28,06",107,072
6.548,35.952,580.063,21. 11. 2014,1,"10,00","12,20",063,072
6.549,35.358,580.065,17. 11. 2014,1,"9,00","10,98",063,008
6.550,35.506,580.066,18. 11. 2014,1,"23,00","28,06",063,008
6.551,35.362,580.075,17. 11. 2014,1,"9,00","10,98",063,008
6.552,36.196,580.076,24. 11. 2014,1,"35,00","42,70",107,008
6.553,36.624,580.077,26. 11. 2014,1,"10,00","12,20",107,008
6.554,35.892,580.078,20. 11. 2014,1,"10,00","12,20",063,008
6.555,36.045,580.079,24. 11. 2014,0,"10,00","12,20",014,008
6.556,38.007,580.082,5. 12. 2014,1,"26,00","31,72",107,075
6.557,38.750,580.094,9. 12. 2014,1,"20,00","24,40",063,008
6.558,33.617,580.098,29. 10. 2014,1,"37,00","45,14",107,076
6.559,32.979,580.100,28. 10. 2014,1,"37,00","45,14",063,076
6.560,39.089,580.104,11. 12. 2014,1,"9,00","10,98",107,008
6.561,41.228,580.105,29. 12. 2014,1,"53,00","64,66",063,008
6.562,39.380,580.107,15. 12. 2014,1,"16,00","19,52",107,008
6.563,39.698,580.109,16. 12. 2014,1,"26,00","31,72",063,008
6.564,29.663,580.120,2. 10. 2014,1,"23,00","28,06",063,072
6.565,36.505,580.124,24. 11. 2014,1,"23,00","28,06",063,072
6.566,36.510,580.125,25. 11. 2014,1,"20,00","24,40",063,072
6.567,36.501,580.127,24. 11. 2014,1,"37,00","45,14",063,072
6.568,36.511,580.128,25. 11. 2014,1,"26,00","31,72",063,072
6.569,36.503,580.132,24. 11. 2014,1,"37,00","45,14",063,072
6.570,36.798,580.135,26. 11. 2014,1,"26,00","31,72",107,072
6.571,40.046,580.177,18. 12. 2014,0,"23,00","28,06",037,072
6.572,40.958,580.178,22. 12. 2014,0,"23,00","28,06",037,072
6.573,41.242,580.183,17. 12. 2014,0,"6,30","7,69",037,072
6.574,41.243,580.184,17. 12. 2014,0,"6,30","7,69",037,072
6.575,39.695,580.188,17. 12. 2014,0,"23,00","28,06",037,072
6.576,40.045,580.189,17. 12. 2014,1,"23,00","28,06",063,072
6.577,40.047,580.190,17. 12. 2014,1,"23,00","28,06",063,072
6.578,19,580.191,5. 1. 2015,0,"23,00","28,06",037,072
6.579,33.950,580.202,5. 11. 2014,1,"23,00","28,06",107,075
6.580,32.641,580.204,30. 10. 2014,0,"23,00","28,06",037,005
6.581,33.713,580.211,3. 11. 2014,1,"23,00","28,06",063,075
6.582,33.919,580.214,3. 11. 2014,0,"6,30","7,69",037,075
6.583,37.958,580.220,5. 12. 2014,1,"20,00","24,40",107,005
6.584,38.317,580.229,5. 12. 2014,0,"20,00","24,40",037,005
6.585,308,580.231,9. 1. 2015,0,"26,00","31,72",037,013
6.586,38.391,580.237,8. 12. 2014,1,"10,00","12,20",107,072
6.587,38.489,580.238,9. 12. 2014,0,"32,00","39,04",037,072
6.588,38.925,580.240,10. 12. 2014,1,"23,00","28,06",107,072
6.589,38.597,580.241,9. 12. 2014,1,"10,00","12,20",063,072
6.590,38.931,580.242,10. 12. 2014,1,"10,00","12,20",107,072
6.591,38.399,580.243,8. 12. 2014,1,"23,00","28,06",107,072
6.592,39.231,580.246,11. 12. 2014,1,"20,00","24,40",107,072
6.593,39.372,580.248,15. 12. 2014,1,"26,00","31,72",107,072
6.594,34.307,580.255,5. 11. 2014,1,"10,00","12,20",107,072
6.595,29.665,580.267,2. 10. 2014,1,"10,00","12,20",063,072
6.596,29.671,580.269,2. 10. 2014,1,"53,00","64,66",063,072
6.597,32.323,580.270,29. 10. 2014,0,"6,30","7,69",037,072
6.598,40.261,580.270,19. 12. 2014,0,"39,00","47,58",037,008
6.599,39.387,580.281,15. 12. 2014,1,"10,00","12,20",107,008
6.600,39.371,580.282,15. 12. 2014,1,"37,00","45,14",107,072
6.601,32.378,64.088,30. 10. 2014,0,"32,00","39,04",037,064
6.602,30.513,580.358,13. 10. 2014,1,"37,00","45,14",063,072
6.603,29.831,580.361,7. 10. 2014,1,"25,00","30,50",063,064
6.604,33.209,580.363,30. 10. 2014,1,"25,00","30,50",063,076
6.605,1.375,580.365,19. 1. 2015,0,"26,00","31,72",037,072
6.606,29.666,580.380,2. 10. 2014,1,"23,00","28,06",063,072
6.607,1.095,580.403,12. 1. 2015,1,"20,00","24,40",063,072
6.608,38.070,580.409,5. 12. 2014,1,"23,00","28,06",107,072
6.609,38.057,580.410,4. 12. 2014,1,"37,00","45,14",063,072
6.610,36.356,580.411,26. 11. 2014,0,"33,00","40,26",014,072
6.611,39.232,580.413,12. 12. 2014,1,"20,00","24,40",107,072
6.612,497,580.440,13. 1. 2015,0,"23,00","28,06",037,075
6.613,38.757,580.463,11. 12. 2014,0,"23,00","28,06",037,024
6.614,33.405,580.464,4. 11. 2014,2,"23,00","28,06",063,007
6.615,35.570,580.487,20. 11. 2014,0,"37,00","45,14",014,008
6.616,33.484,580.503,4. 11. 2014,1,"16,00","19,52",063,008
6.617,32.786,580.504,29. 10. 2014,1,"20,00","24,40",063,008
6.618,32.784,580.505,29. 10. 2014,1,"37,00","45,14",063,008
6.619,34.603,580.514,13. 11. 2014,1,"23,00","28,06",063,072
6.620,35.475,580.517,18. 11. 2014,1,"23,00","28,06",063,076
6.621,36.041,580.518,18. 11. 2014,0,"6,30","7,69",014,076
6.622,35.283,580.519,17. 11. 2014,1,"37,00","45,14",063,076
6.623,31.264,580.522,21. 10. 2014,0,"58,00","70,76",037,033
6.624,37.743,580.522,3. 12. 2014,0,"31,00","37,82",037,033
6.625,35.318,580.525,19. 11. 2014,0,"16,00","19,52",014,008
6.626,35.149,580.528,18. 11. 2014,0,"23,00","28,06",014,072
6.627,30.937,580.542,16. 10. 2014,0,"58,00","70,76",037,033
6.628,40.915,580.557,29. 12. 2014,0,"6,30","7,69",037,031
6.629,304,580.565,9. 1. 2015,0,"23,00","28,06",037,075
6.630,305,580.568,9. 1. 2015,0,"23,00","28,06",037,075
6.631,1.431,580.572,9. 1. 2015,0,"6,30","7,69",037,075
6.632,1.430,580.575,9. 1. 2015,0,"6,30","7,69",037,075
6.633,35.815,580.579,19. 11. 2014,2,"23,00","28,06",107,005
6.634,35.368,580.584,19. 11. 2014,0,"23,00","28,06",014,005
6.635,33.100,580.598,30. 10. 2014,1,"23,00","28,06",063,031
6.636,33.247,580.601,30. 10. 2014,1,"23,00","28,06",108,031
6.637,32.271,580.604,30. 10. 2014,0,"23,00","28,06",037,001
6.638,33.254,580.605,29. 10. 2014,1,"23,00","28,06",108,001
6.639,27,580.611,5. 1. 2015,0,"23,00","28,06",037,072
6.640,41.205,580.612,24. 12. 2014,1,"23,00","28,06",063,072
6.641,40.676,580.613,24. 12. 2014,0,"23,00","28,06",037,005
6.642,40.681,580.615,24. 12. 2014,0,"23,00","28,06",037,005
6.643,40.677,580.620,24. 12. 2014,0,"23,00","28,06",037,005
6.644,33.956,580.637,5. 11. 2014,1,"16,00","19,52",107,005
6.645,32.989,580.652,30. 10. 2014,0,"6,30","7,69",037,005
6.646,33.041,580.671,27. 10. 2014,1,"23,00","28,06",107,005
6.647,33.042,580.673,27. 10. 2014,1,"23,00","28,06",107,005
6.648,39.903,580.677,17. 12. 2014,2,"23,00","28,06",107,005
6.649,28,580.678,5. 1. 2015,0,"23,00","28,06",037,072
6.650,35.976,580.710,21. 11. 2014,2,"23,00","28,06",063,005
6.651,35.356,580.712,18. 11. 2014,0,"23,00","28,06",014,005
6.652,36.417,580.712,25. 11. 2014,0,"23,00","28,06",014,038
6.653,36.263,580.714,21. 11. 2014,0,"23,00","28,06",014,005
6.654,37.232,580.715,21. 11. 2014,0,"6,30","7,69",037,005
6.655,37.235,580.718,21. 11. 2014,0,"6,30","7,69",037,005
6.656,37.231,580.719,21. 11. 2014,0,"6,30","7,69",037,005
6.657,36.260,580.721,21. 11. 2014,0,"23,00","28,06",014,005
6.658,36.266,580.723,21. 11. 2014,0,"23,00","28,06",014,005
6.659,40.294,580.728,19. 12. 2014,1,"23,00","28,06",107,072
6.660,40.293,580.734,19. 12. 2014,1,"23,00","28,06",107,072
6.661,39.564,580.735,16. 12. 2014,0,"11,50","14,03",037,072
6.662,31.825,580.741,15. 10. 2014,1,"23,00","28,06",063,031
6.663,32.402,580.742,15. 10. 2014,0,"6,30","7,69",037,031
6.664,40.609,580.752,23. 12. 2014,0,"23,00","28,06",037,072
6.665,1.030,580.756,7. 1. 2015,1,"23,00","28,06",063,027
6.666,1.184,580.758,9. 1. 2015,1,"23,00","28,06",063,075
6.667,1.357,580.763,8. 1. 2015,1,"23,00","28,06",063,075
6.668,1.362,580.766,8. 1. 2015,1,"23,00","28,06",063,075
6.669,213,580.768,8. 1. 2015,0,"23,00","28,06",037,075
6.670,1.220,580.771,8. 1. 2015,0,"6,30","7,69",037,075
6.671,211,580.772,8. 1. 2015,0,"23,00","28,06",037,075
6.672,212,580.774,8. 1. 2015,0,"23,00","28,06",037,075
6.673,1.361,580.775,8. 1. 2015,1,"23,00","28,06",063,075
6.674,1.360,580.777,8. 1. 2015,1,"23,00","28,06",063,075
6.675,1.359,580.782,8. 1. 2015,1,"23,00","28,06",063,075
6.676,503,580.783,13. 1. 2015,0,"23,00","28,06",037,075
6.677,1.429,580.797,12. 1. 2015,0,"6,30","7,69",037,075
6.678,404,580.799,12. 1. 2015,0,"23,00","28,06",037,075
6.679,1.580,26.540.738,16. 1. 2015,1,"25,00","30,50",063,064
6.680,39.355,580.806,15. 12. 2014,0,"23,00","28,06",037,005
6.681,38.870,580.807,12. 12. 2014,0,"23,00","28,06",037,005
6.682,38.871,580.808,12. 12. 2014,0,"23,00","28,06",037,005
6.683,38.873,580.809,12. 12. 2014,0,"23,00","28,06",037,005
6.684,32.433,580.818,17. 10. 2014,0,"6,30","7,69",037,001
6.685,40.862,580.818,18. 12. 2014,0,"6,30","7,69",037,001
6.686,31.822,580.820,22. 10. 2014,1,"46,00","56,12",063,001
6.687,31.472,580.822,16. 10. 2014,1,"23,00","28,06",063,001
6.688,34.844,580.835,11. 11. 2014,2,"23,00","28,06",107,001
6.689,34.845,580.836,11. 11. 2014,1,"23,00","28,06",107,001
6.690,33.630,580.837,11. 11. 2014,0,"23,00","28,06",037,001
6.691,33.633,580.838,11. 11. 2014,0,"23,00","28,06",037,001
6.692,39.905,580.846,17. 12. 2014,1,"16,00","19,52",107,005
6.693,30.417,580.874,13. 10. 2014,0,"23,00","28,06",037,001
6.694,32.209,580.877,25. 10. 2014,1,"36,00","43,92",063,008
6.695,32.043,580.880,21. 10. 2014,1,"37,00","45,14",063,008
6.696,31.165,580.897,15. 10. 2014,1,"37,00","45,14",063,072
6.697,39.023,580.919,11. 12. 2014,2,"37,00","45,14",107,007
6.698,38.479,580.923,9. 12. 2014,0,"16,00","19,52",037,013
6.699,33.702,580.934,11. 11. 2014,0,"37,00","45,14",037,076
6.700,36.786,580.938,27. 11. 2014,1,"42,00","51,24",063,072
6.701,36.525,580.940,25. 11. 2014,1,"10,00","12,20",063,008
6.702,36.524,580.941,25. 11. 2014,1,"26,00","31,72",063,008
6.703,148,580.944,7. 1. 2015,0,"6,30","7,69",037,075
6.704,34.531,580.978,10. 11. 2014,1,"37,00","45,14",063,072
6.705,31.875,581.038,22. 10. 2014,1,"16,00","19,52",063,008
6.706,31.876,581.038,22. 10. 2014,1,"37,00","45,14",063,008
6.707,30.288,581.143,8. 10. 2014,1,"26,00","31,72",063,072
6.708,32.343,581.148,15. 10. 2014,0,"6,30","7,69",037,072
6.709,40.113,581.148,17. 12. 2014,1,"23,00","28,06",107,008
6.710,31.508,581.150,16. 10. 2014,1,"10,00","12,20",063,072
6.711,33.749,581.164,3. 11. 2014,1,"26,00","31,72",063,076
6.712,1.807,581.193,21. 1. 2015,0,"9,00","10,98",037,008
6.713,36.523,581.202,25. 11. 2014,1,"69,00","84,18",063,008
6.714,36.195,581.203,24. 11. 2014,1,"26,00","31,72",107,008
6.715,40.136,581.208,18. 12. 2014,1,"23,00","28,06",063,008
6.716,30.298,581.214,8. 10. 2014,1,"37,00","45,14",063,076
6.717,30.922,581.216,16. 10. 2014,0,"37,00","45,14",037,076
6.718,30.650,581.217,15. 10. 2014,0,"26,00","31,72",037,076
6.719,31.108,581.218,14. 10. 2014,1,"34,60","42,21",063,076
6.720,30.873,581.219,13. 10. 2014,1,"16,00","19,52",063,076
6.721,30.919,581.221,16. 10. 2014,0,"10,00","12,20",037,076
6.722,33.785,64.148,6. 11. 2014,1,"23,00","28,06",107,024
6.723,33.743,581.222,3. 11. 2014,1,"25,00","30,50",063,076
6.724,30.209,581.223,9. 10. 2014,1,"26,00","31,72",063,076
6.725,29.836,581.224,7. 10. 2014,1,"37,00","45,14",063,076
6.726,30.874,581.225,13. 10. 2014,1,"23,00","28,06",063,076
6.727,30.589,581.226,10. 10. 2014,1,"37,00","45,14",063,076
6.728,30.210,581.227,9. 10. 2014,1,"37,00","45,14",063,076
6.729,30.588,581.228,10. 10. 2014,1,"20,00","24,40",063,076
6.730,30.295,581.229,8. 10. 2014,1,"37,00","45,14",063,076
6.731,31.118,581.230,14. 10. 2014,1,"25,00","30,50",063,076
6.732,32.167,581.233,24. 10. 2014,1,"32,00","39,04",063,008
6.733,32.174,581.233,24. 10. 2014,1,"23,00","28,06",063,008
6.734,34.103,581.233,8. 11. 2014,1,"23,00","28,06",063,008
6.735,34.405,581.293,11. 11. 2014,1,"53,00","64,66",063,064
6.736,38.885,581.363,13. 12. 2014,0,"23,00","28,06",037,024
6.737,33.265,581.365,29. 10. 2014,1,"8,00","9,76",108,007
6.738,1.324,581.383,9. 1. 2015,1,"20,00","24,40",063,008
6.739,29.941,581.385,8. 10. 2014,0,"46,00","56,12",037,072
6.740,39.262,581.394,12. 12. 2014,1,"20,00","24,40",107,008
6.741,36.802,581.418,26. 11. 2014,1,"26,00","31,72",107,072
6.742,29.670,581.447,2. 10. 2014,1,"20,00","24,40",063,072
6.743,1.565,581.454,16. 1. 2015,1,"23,00","28,06",063,021
6.744,33.396,581.456,3. 11. 2014,1,"37,00","45,14",063,007
6.745,37.670,581.493,2. 12. 2014,1,"37,00","45,14",107,072
6.746,36.012,581.494,24. 11. 2014,0,"37,00","45,14",014,072
6.747,40.813,581.495,1. 12. 2014,0,"23,00","28,06",037,072
6.748,41.124,581.495,31. 12. 2014,0,"-23,00","-28,06",037,072
6.749,35.954,581.496,21. 11. 2014,1,"25,00","30,50",063,072
6.750,35.520,581.497,18. 11. 2014,1,"20,00","24,40",063,008
6.751,36.512,581.500,25. 11. 2014,1,"26,00","31,72",063,072
6.752,39.235,581.501,12. 12. 2014,1,"37,00","45,14",107,072
6.753,34.212,581.505,6. 11. 2014,1,"25,00","30,50",063,064
6.754,34.068,581.519,8. 11. 2014,1,"14,00","17,08",063,076
6.755,34.804,581.521,10. 11. 2014,0,"6,30","7,69",014,076
6.756,32.562,581.522,30. 10. 2014,0,"6,30","7,69",037,076
6.757,41.117,581.522,31. 12. 2014,1,"10,00","12,20",063,076
6.758,1.593,581.527,16. 1. 2015,1,"10,00","12,20",063,076
6.759,432,581.528,12. 1. 2015,0,"39,00","47,58",037,076
6.760,33.473,581.529,4. 11. 2014,1,"20,00","24,40",063,072
6.761,30.034,581.533,3. 10. 2014,1,"26,00","31,72",063,072
6.762,37.852,581.543,4. 12. 2014,0,"37,00","45,14",037,076
6.763,39.377,581.545,4. 12. 2014,0,"6,30","7,69",037,076
6.764,36.159,581.552,24. 11. 2014,1,"26,00","31,72",107,021
6.765,30.296,581.559,8. 10. 2014,1,"37,00","45,14",063,076
6.766,30.892,581.560,8. 10. 2014,0,"6,30","7,69",037,076
6.767,30.590,581.562,10. 10. 2014,1,"20,00","24,40",063,076
6.768,31.107,581.563,14. 10. 2014,1,"10,00","12,20",063,076
6.769,30.647,581.565,14. 10. 2014,0,"20,00","24,40",037,076
6.770,30.895,581.566,13. 10. 2014,0,"6,30","7,69",037,076
6.771,33.446,581.566,10. 11. 2014,0,"-6,30","-7,69",037,076
6.772,34.701,581.566,15. 11. 2014,0,"25,00","30,50",014,076
6.773,31.616,581.567,16. 10. 2014,0,"6,30","7,69",037,076
6.774,31.297,581.568,20. 10. 2014,1,"37,00","45,14",063,076
6.775,30.920,581.569,16. 10. 2014,0,"23,00","28,06",037,076
6.776,31.718,581.571,25. 10. 2014,0,"16,00","19,52",014,076
6.777,31.306,581.572,20. 10. 2014,1,"41,00","50,02",063,076
6.778,31.296,581.573,20. 10. 2014,1,"23,00","28,06",063,076
6.779,31.300,581.574,20. 10. 2014,1,"37,00","45,14",063,076
6.780,32.511,581.575,25. 10. 2014,1,"37,00","45,14",063,076
6.781,36.932,581.577,28. 11. 2014,1,"9,00","10,98",107,072
6.782,29.446,581.580,3. 10. 2014,0,"23,00","28,06",037,072
6.783,33.003,581.586,28. 10. 2014,1,"9,00","10,98",107,072
6.784,41.216,581.593,29. 12. 2014,1,"16,00","19,52",063,064
6.785,31.776,581.618,22. 10. 2014,1,"23,00","28,06",063,005
6.786,37.009,581.620,27. 11. 2014,0,"23,00","28,06",037,031
6.787,31.759,581.621,23. 10. 2014,1,"20,00","24,40",063,008
6.788,37.851,581.622,4. 12. 2014,0,"20,00","24,40",037,076
6.789,38.135,581.623,4. 12. 2014,1,"23,00","28,06",063,076
6.790,32.394,581.627,25. 10. 2014,1,"37,00","45,14",063,064
6.791,31.307,581.628,20. 10. 2014,1,"23,00","28,06",063,076
6.792,32.800,581.637,29. 10. 2014,1,"20,00","24,40",063,008
6.793,1.285,581.638,9. 1. 2015,1,"23,00","28,06",063,076
6.794,38.132,581.650,4. 12. 2014,1,"23,00","28,06",063,076
6.795,32.092,581.669,28. 10. 2014,0,"23,00","28,06",014,005
6.796,32.871,581.673,28. 10. 2014,0,"6,30","7,69",037,005
6.797,32.094,581.674,28. 10. 2014,0,"23,00","28,06",014,005
6.798,39.662,581.686,17. 12. 2014,0,"23,00","28,06",037,038
6.799,39.882,581.687,17. 12. 2014,1,"23,00","28,06",107,038
6.800,39.660,581.688,17. 12. 2014,0,"23,00","28,06",037,038
6.801,39.663,581.690,17. 12. 2014,0,"23,00","28,06",037,038
6.802,39.658,581.692,17. 12. 2014,0,"23,00","28,06",037,038
6.803,32.096,581.695,28. 10. 2014,0,"23,00","28,06",014,005
6.804,32.869,581.712,28. 10. 2014,0,"6,30","7,69",037,005
